Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
99	76.28202	84.99195	185.07814	-76.576004	883.4	16.991869	20.887638	130.38971	-13.589493	500000	-4.577637e-09	617.8716	-0.007657405	-442.15173	0.7710132	0.0033611592	0.042	79.0	988.4146628379822
100	113.9665	56.666943	185.64311	50.385475	779.1667	2.3474116	15.214453	98.223076	-39.157436	505000	0.0	302.2958	-0.0054424745	-146.75157	0.7661772	0.017042933	0.1144	19.0	998.6056797504425
101	64.054825	38.71797	127.099754	19.031906	1000.0	6.340013	9.532807	54.313465	-22.704535	510000	-2.746582e-08	50.140053	-0.008967115	-22.379093	0.74535525	0.0033313415	0.095	79.0	1007.6547341346741
102	95.97103	103.08956	189.19493	-110.32125	745.3333	9.583253	13.50204	96.06145	-19.15842	515000	-3.6621095e-08	382.12164	-0.007413391	-217.48071	0.7438876	0.010348103	0.0908	79.0	1015.9866523742676
103	104.632965	49.915833	195.4588	56.30999	830.0	16.836412	20.958014	115.99344	-10.806483	520000	2.9754638e-08	240.2639	-0.008943759	-164.03015	0.6931198	0.01147948	0.1102	79.0	1025.3752739429474
104	132.0341	58.671448	212.0215	71.44671	762.8333	6.6928625	14.133796	103.4403	-25.902874	525000	3.051758e-08	259.68124	-0.005496823	-161.09518	0.71876764	0.014359146	0.1412	79.0	1034.0129897594452
105	139.82642	57.827282	226.99577	66.81247	812.4	15.706514	17.126223	164.66115	-5.4577346	530000	8.392334e-09	115.24446	-0.008958075	-26.89975	0.70898247	0.010645286	0.1164	79.0	1042.7781627178192
106	123.171585	44.08431	186.07996	74.37349	850.8	11.469197	15.465618	103.73842	-8.926402	535000	-3.0517577e-09	93.85182	-0.007860521	-54.981808	0.7076394	0.0075348723	0.0558	79.0	1052.0474269390106
107	149.46971	51.79091	230.38747	88.80784	758.1667	14.885999	17.620148	147.20209	-6.446583	540000	1.6975402e-08	97.35421	-0.010152644	-32.351707	0.6746501	0.0061167413	0.0628	79.0	1060.36341547966
108	99.076515	30.250374	154.32756	70.742424	916.8	13.414437	12.826455	74.85281	-4.03798	545000	-1.2207031e-08	99.57807	-0.0082831085	-64.92752	0.73639613	0.004586666	0.0794	79.0	1069.138182401657
109	99.29875	39.04839	176.73573	71.59794	905.2	10.566568	12.77668	87.02397	-7.481312	550000	-1.8310548e-08	90.53399	-0.007216095	-41.562294	0.75114685	0.0059537767	0.0546	79.0	1078.5875973701477
110	145.92197	41.89673	206.02762	78.79509	751.6667	19.894419	16.782913	171.16339	-0.21885929	555000	0.0	200.79546	-0.0077233855	-132.78746	0.6201119	0.015420393	0.1162	60.0	1087.0529050827026
111	155.87085	51.090435	230.28275	71.17223	681.0	15.252541	20.741955	183.25414	-17.173035	560000	3.0517577e-09	215.43547	-0.005828809	-69.750916	0.6691455	0.008388247	0.0744	79.0	1095.7797617912292
112	81.61183	80.48893	211.6199	-41.2341	840.2	13.871407	13.368904	101.316246	-6.3052545	565000	-1.2207031e-08	373.4691	-0.007638801	-214.04993	0.6651814	0.00547195	0.06	79.0	1104.5267474651337
113	127.44043	37.595097	175.00586	69.521454	915.2	4.6457043	24.45827	165.87561	-88.53575	570000	-9.155274e-09	775.7322	-0.005975198	-682.0926	0.57643145	0.0044898177	0.088	79.0	1113.4317276477814
114	96.97089	78.82034	192.80107	-57.50288	667.1667	14.6349125	32.31133	286.9653	-19.97986	575000	1.8310548e-08	1000.8999	-0.008680183	-826.2055	0.66044337	0.0028963094	0.017	79.0	1122.180536031723
115	118.37063	22.986256	144.16174	81.84848	1000.0	6.48865	10.662935	42.94862	-20.932425	580000	6.1035155e-09	67.9898	-0.008188636	-54.84756	0.66545963	0.00778861	0.0494	79.0	1131.7307686805725
116	118.85178	25.187511	160.06146	80.741554	907.8	10.589978	12.246357	47.571552	-6.7887917	585000	1.525879e-08	45.634174	-0.0056017395	-25.028952	0.74726933	0.00761828	0.0478	79.0	1141.5479850769043
117	131.00911	73.442986	222.53261	-1.3087204	673.2857	15.727591	14.426157	73.38594	-23.048847	590000	-3.0517577e-09	401.63974	-0.0063673793	-182.0727	0.62568504	0.01074358	0.1094	79.0	1151.664992570877
118	140.80353	34.315964	204.745	103.13361	773.6667	8.630546	17.3041	59.315926	-57.6514	595000	1.2207031e-08	251.19885	-0.0068968507	-169.39503	0.6774658	0.008096959	0.0546	79.0	1159.417850971222
119	101.64657	16.359377	132.0243	84.881096	1000.0	14.235768	13.127298	57.216415	-0.3710371	600000	-1.2207031e-08	122.090775	-0.009320386	-110.39259	0.7502708	0.007750699	0.0614	79.0	1168.8547084331512
120	114.57273	44.878067	202.77982	83.13282	955.6	9.665983	12.6543255	78.8278	-8.040273	605000	0.0	67.95118	-0.006949768	-13.9137535	0.69213057	0.009587903	0.0782	79.0	1177.7840569019318
